;REGIAO;RENDA;ACESSO À INTERNET PRÓPRIO DOMICILIO;VIA 3G OU 4G;DISCADA OU LINHA TELEFONICA;BANDA LARGA;MICROCOMPUTADOR;MICROCOMPUTADOR PARA INTERNET
135237;Centro-Oeste;mais que 5 SM;2.0;Sim;Não;Sim;Sim;Sim
135238;Centro-Oeste;de 0,25 a 0,5 SM;4.0;;;;Não;
135239;Centro-Oeste;de 0,5 a 1 SM;4.0;;;;Não;
135240;Centro-Oeste;de 0,25 a 0,5 SM;4.0;;;;Não;
135241;Centro-Oeste;de 1 a 2 SM;2.0;Não;Não;Sim;Não;
135242;Centro-Oeste;de 0,5 a 1 SM;4.0;;;;Não;
135243;Centro-Oeste;de 0,25 a 0,5 SM;2.0;Sim;Não;Não;Sim;Não
135244;Centro-Oeste;de 0,25 a 0,5 SM;4.0;;;;Não;
135245;Centro-Oeste;de 2 a 3 SM;2.0;Sim;Não;Sim;Sim;Sim
135246;Centro-Oeste;de 1 a 2 SM;2.0;Sim;Não;Sim;Sim;Sim
135247;Centro-Oeste;de 1 a 2 SM;2.0;Não;Não;Sim;Sim;Sim
135248;Centro-Oeste;de 0,5 a 1 SM;2.0;Sim;Não;Sim;Sim;Sim
135249;Centro-Oeste;de 1 a 2 SM;2.0;Sim;Não;Sim;Sim;Sim
135250;Centro-Oeste;de 1 a 2 SM;2.0;Sim;Não;Sim;Sim;Sim
135251;Centro-Oeste;de 1 a 2 SM;2.0;Sim;Não;Sim;Sim;Sim
135252;Centro-Oeste;;;;;;;
135253;Centro-Oeste;de 0,25 a 0,5 SM;4.0;;;;Não;
135254;Centro-Oeste;de 0,25 a 0,5 SM;2.0;Sim;Não;Sim;Não;
135255;Centro-Oeste;de 2 a 3 SM;2.0;Não;Não;Sim;Sim;Sim
135256;Centro-Oeste;;;;;;;
135257;Centro-Oeste;;;;;;;
135258;Centro-Oeste;de 0,5 a 1 SM;2.0;Sim;Não;Sim;Sim;Sim
135259;Centro-Oeste;;;;;;;
135260;Centro-Oeste;de 0,25 a 0,5 SM;4.0;;;;Não;
135261;Centro-Oeste;de 0,25 a 0,5 SM;4.0;;;;Não;
135262;Centro-Oeste;de 0,5 a 1 SM;4.0;;;;Não;
135263;Centro-Oeste;;;;;;;
135264;Centro-Oeste;de 1 a 2 SM;4.0;;;;Não;
135265;Centro-Oeste;de 1 a 2 SM;4.0;;;;Não;
135266;Centro-Oeste;;;;;;;
135267;Centro-Oeste;de 0,25 a 0,5 SM;4.0;;;;Não;
135268;Centro-Oeste;;;;;;;
135269;Centro-Oeste;de 1 a 2 SM;2.0;Sim;Não;Não;Sim;Não
135270;Centro-Oeste;de 1 a 2 SM;2.0;Sim;Não;Não;Não;
135271;Centro-Oeste;;;;;;;
135272;Centro-Oeste;mais que 5 SM;2.0;Sim;Não;Sim;Não;
135273;Centro-Oeste;;;;;;;
135274;Centro-Oeste;mais que 5 SM;2.0;Sim;Não;Sim;Sim;Sim
135275;Centro-Oeste;;;;;;;
135276;Centro-Oeste;de 1 a 2 SM;2.0;Sim;Não;Sim;Sim;Sim
135277;Centro-Oeste;;;;;;;
135278;Centro-Oeste;;;;;;;
135279;Centro-Oeste;de 1 a 2 SM;2.0;Sim;Não;Sim;Sim;Sim
135280;Centro-Oeste;de 1 a 2 SM;4.0;;;;Não;
135281;Centro-Oeste;de 2 a 3 SM;2.0;Sim;Não;Sim;Sim;Sim
135282;Centro-Oeste;;;;;;;
135283;Centro-Oeste;de 1 a 2 SM;2.0;Sim;Não;Sim;Sim;Sim
135284;Centro-Oeste;de 2 a 3 SM;2.0;Sim;Não;Sim;Sim;Sim
135285;Centro-Oeste;;;;;;;
135286;Centro-Oeste;de 2 a 3 SM;2.0;Sim;Não;Sim;Sim;Sim
135287;Centro-Oeste;de 2 a 3 SM;4.0;;;;Não;
135288;Centro-Oeste;de 1 a 2 SM;2.0;Sim;Não;Não;Sim;Não
135289;Centro-Oeste;de 1 a 2 SM;4.0;;;;Não;
135290;Centro-Oeste;de 0,25 a 0,5 SM;4.0;;;;Não;
135291;Centro-Oeste;;;;;;;
135292;Centro-Oeste;;;;;;;
135293;Centro-Oeste;de 1 a 2 SM;2.0;Sim;Não;Sim;Sim;Sim
135294;Centro-Oeste;mais que 5 SM;2.0;Sim;Não;Sim;Não;
135295;Centro-Oeste;de 2 a 3 SM;4.0;;;;Não;
135296;Centro-Oeste;de 0,5 a 1 SM;4.0;;;;Não;
135297;Centro-Oeste;;;;;;;
135298;Centro-Oeste;de 0,5 a 1 SM;4.0;;;;Não;
135299;Centro-Oeste;de 0,5 a 1 SM;2.0;Não;Não;Sim;Não;
135300;Centro-Oeste;;;;;;;
135301;Centro-Oeste;;;;;;;
135302;Centro-Oeste;de 1 a 2 SM;2.0;Sim;Não;Sim;Sim;Sim
135303;Centro-Oeste;de 0,5 a 1 SM;2.0;Sim;Não;Não;Não;
135304;Centro-Oeste;;;;;;;
135305;Centro-Oeste;de 2 a 3 SM;2.0;Não;Não;Sim;Sim;Sim
135306;Centro-Oeste;de 2 a 3 SM;2.0;Não;Não;Sim;Sim;Sim
135307;Centro-Oeste;de 1 a 2 SM;4.0;;;;Não;
135308;Centro-Oeste;de 2 a 3 SM;4.0;;;;Não;
135309;Centro-Oeste;de 0,5 a 1 SM;2.0;Sim;Não;Não;Não;
135310;Centro-Oeste;;;;;;;
135311;Centro-Oeste;de 2 a 3 SM;2.0;Sim;Não;Sim;Sim;Sim
135312;Centro-Oeste;mais que 5 SM;4.0;;;;Sim;Não
135313;Centro-Oeste;;;;;;;
135314;Centro-Oeste;;;;;;;
135315;Centro-Oeste;de 1 a 2 SM;2.0;Sim;Não;Não;Não;
135316;Centro-Oeste;de 3 a 5 SM;2.0;Não;Não;Sim;Sim;Sim
135317;Centro-Oeste;de 1 a 2 SM;4.0;;;;Não;
135318;Centro-Oeste;;;;;;;
135319;Centro-Oeste;mais que 5 SM;2.0;Não;Sim;Sim;Sim;Sim
135320;Centro-Oeste;de 0,5 a 1 SM;2.0;Não;Não;Sim;Não;
135321;Centro-Oeste;mais que 5 SM;2.0;Não;Não;Sim;Sim;Sim
135322;Centro-Oeste;;;;;;;
135323;Centro-Oeste;mais que 5 SM;2.0;Sim;Não;Não;Sim;Não
135324;Centro-Oeste;de 1 a 2 SM;2.0;Não;Não;Sim;Sim;Sim
